# SignalP-5.0	Organism: euk	Timestamp: 20220617153159
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
H9P43_001481-T1	OTHER	0.006152	0.993848	
H9P43_001482-T1	OTHER	0.003964	0.996036	
H9P43_001483-T1	OTHER	0.001751	0.998249	
H9P43_001484-T1	OTHER	0.000390	0.999610	
H9P43_001485-T1	OTHER	0.012253	0.987747	
H9P43_001486-T1	OTHER	0.000942	0.999058	
H9P43_001487-T1	OTHER	0.004078	0.995922	
H9P43_001488-T1	OTHER	0.000461	0.999539	
H9P43_001489-T1	OTHER	0.001009	0.998991	
H9P43_001490-T1	OTHER	0.000839	0.999161	
H9P43_001491-T1	OTHER	0.020412	0.979588	
H9P43_001492-T1	OTHER	0.001556	0.998444	
H9P43_001493-T1	SP(Sec/SPI)	0.993055	0.006945	CS pos: 22-23. ATA-TT. Pr: 0.6177
H9P43_001494-T1	OTHER	0.010595	0.989405	
H9P43_001495-T1	OTHER	0.000557	0.999443	
H9P43_001496-T1	OTHER	0.001479	0.998521	
H9P43_001497-T1	OTHER	0.001382	0.998618	
H9P43_001498-T1	OTHER	0.002230	0.997770	
H9P43_001499-T1	OTHER	0.003243	0.996757	
H9P43_001500-T1	OTHER	0.004237	0.995763	
H9P43_001501-T1	OTHER	0.001882	0.998118	
H9P43_001502-T1	OTHER	0.012201	0.987799	
H9P43_001503-T1	SP(Sec/SPI)	0.971233	0.028767	CS pos: 22-23. AAA-MT. Pr: 0.5946
H9P43_001504-T1	OTHER	0.004431	0.995569	
H9P43_001505-T1	OTHER	0.003454	0.996546	
H9P43_001506-T1	OTHER	0.001718	0.998282	
H9P43_001507-T1	OTHER	0.006316	0.993684	
H9P43_001508-T1	SP(Sec/SPI)	0.995166	0.004834	CS pos: 20-21. VHS-HG. Pr: 0.4846
H9P43_001509-T1	OTHER	0.003333	0.996667	
H9P43_001510-T1	OTHER	0.002184	0.997816	
H9P43_001511-T1	OTHER	0.007545	0.992455	
H9P43_001512-T1	OTHER	0.000902	0.999098	
H9P43_001513-T1	OTHER	0.019085	0.980915	
H9P43_001514-T1	OTHER	0.001694	0.998306	
H9P43_001515-T1	OTHER	0.002891	0.997109	
H9P43_001516-T1	OTHER	0.009110	0.990890	
H9P43_001517-T1	OTHER	0.001877	0.998123	
H9P43_001518-T1	OTHER	0.000236	0.999764	
H9P43_001519-T1	OTHER	0.027836	0.972164	
H9P43_001520-T1	OTHER	0.001196	0.998804	
H9P43_001521-T1	OTHER	0.000580	0.999420	
H9P43_001522-T1	OTHER	0.005086	0.994914	
H9P43_001523-T1	OTHER	0.000639	0.999361	
H9P43_001524-T1	OTHER	0.000811	0.999189	
H9P43_001525-T1	OTHER	0.001267	0.998733	
H9P43_001526-T1	OTHER	0.000912	0.999088	
H9P43_001527-T1	OTHER	0.002530	0.997470	
H9P43_001528-T1	OTHER	0.000825	0.999175	
H9P43_001529-T1	OTHER	0.010598	0.989402	
H9P43_001530-T1	OTHER	0.000714	0.999286	
H9P43_001531-T1	OTHER	0.060775	0.939225	
H9P43_001532-T1	OTHER	0.004558	0.995442	
H9P43_001533-T1	OTHER	0.006904	0.993096	
H9P43_001534-T1	OTHER	0.107280	0.892720	
H9P43_001535-T1	OTHER	0.005956	0.994044	
H9P43_001536-T1	OTHER	0.000349	0.999651	
H9P43_001537-T1	OTHER	0.016765	0.983235	
H9P43_001538-T1	OTHER	0.002638	0.997362	
H9P43_001539-T1	OTHER	0.191520	0.808480	
H9P43_001540-T1	OTHER	0.003252	0.996748	
H9P43_001541-T1	OTHER	0.107280	0.892720	
H9P43_001542-T1	OTHER	0.003206	0.996794	
H9P43_001543-T1	OTHER	0.005203	0.994797	
H9P43_001544-T1	OTHER	0.107280	0.892720	
H9P43_001545-T1	OTHER	0.003252	0.996748	
H9P43_001546-T1	OTHER	0.000277	0.999723	
H9P43_001547-T1	OTHER	0.003108	0.996892	
H9P43_001548-T1	OTHER	0.004149	0.995851	
H9P43_001549-T1	OTHER	0.000555	0.999445	
H9P43_001550-T1	OTHER	0.001444	0.998556	
H9P43_001551-T1	OTHER	0.004858	0.995142	
H9P43_001552-T1	OTHER	0.001767	0.998233	
H9P43_001553-T1	SP(Sec/SPI)	0.639892	0.360108	CS pos: 39-40. VHG-MR. Pr: 0.3674
H9P43_001554-T1	SP(Sec/SPI)	0.997661	0.002339	CS pos: 21-22. AGA-VP. Pr: 0.7321
H9P43_001555-T1	OTHER	0.003423	0.996577	
H9P43_001556-T1	OTHER	0.010334	0.989666	
H9P43_001557-T1	OTHER	0.001449	0.998551	
H9P43_001558-T1	OTHER	0.001746	0.998254	
H9P43_001559-T1	SP(Sec/SPI)	0.967123	0.032877	CS pos: 17-18. VAA-AP. Pr: 0.3637
H9P43_001560-T1	OTHER	0.009303	0.990697	
H9P43_001561-T1	OTHER	0.029161	0.970839	
H9P43_001562-T1	SP(Sec/SPI)	0.901306	0.098694	CS pos: 34-35. ARA-AS. Pr: 0.3891
H9P43_001563-T1	OTHER	0.001173	0.998827	
H9P43_001564-T1	OTHER	0.006158	0.993842	
H9P43_001565-T1	OTHER	0.001221	0.998779	
H9P43_001566-T1	OTHER	0.071809	0.928191	
H9P43_001567-T1	OTHER	0.000325	0.999675	
H9P43_001568-T1	OTHER	0.000267	0.999733	
H9P43_001569-T1	OTHER	0.135241	0.864759	
H9P43_001570-T1	OTHER	0.001886	0.998114	
H9P43_001571-T1	OTHER	0.002313	0.997687	
H9P43_001572-T1	SP(Sec/SPI)	0.975741	0.024259	CS pos: 17-18. VAA-AP. Pr: 0.3483
H9P43_001573-T1	OTHER	0.009066	0.990934	
H9P43_001574-T1	OTHER	0.007827	0.992173	
H9P43_001575-T1	OTHER	0.001335	0.998665	
H9P43_001576-T1	OTHER	0.001870	0.998130	
H9P43_001577-T1	OTHER	0.000765	0.999235	
H9P43_001578-T1	OTHER	0.005249	0.994751	
H9P43_001579-T1	SP(Sec/SPI)	0.995541	0.004459	CS pos: 20-21. ANA-QR. Pr: 0.8731
# SignalP-5.0	Organism: euk	Timestamp: 20220617153122
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
H9P43_007133-T1	OTHER	0.002354	0.997646	
H9P43_007134-T1	OTHER	0.001936	0.998064	
H9P43_007135-T1	OTHER	0.035311	0.964689	
H9P43_007136-T1	OTHER	0.001679	0.998321	
H9P43_007137-T1	OTHER	0.000944	0.999056	
H9P43_007138-T1	OTHER	0.004369	0.995631	
H9P43_007139-T1	OTHER	0.021820	0.978180	
H9P43_007140-T1	OTHER	0.004892	0.995108	
H9P43_007141-T1	OTHER	0.085601	0.914399	
H9P43_007142-T1	OTHER	0.016031	0.983969	
H9P43_007143-T1	OTHER	0.001314	0.998686	
H9P43_007144-T1	OTHER	0.003524	0.996476	
H9P43_007145-T1	SP(Sec/SPI)	0.999522	0.000478	CS pos: 20-21. VAA-AD. Pr: 0.4535
H9P43_007146-T1	SP(Sec/SPI)	0.999316	0.000684	CS pos: 20-21. ATA-ID. Pr: 0.6947
H9P43_007147-T1	OTHER	0.002834	0.997166	
H9P43_007148-T1	OTHER	0.390266	0.609734	
H9P43_007149-T1	OTHER	0.001246	0.998754	
H9P43_007150-T1	OTHER	0.000426	0.999574	
H9P43_007151-T1	OTHER	0.002914	0.997086	
H9P43_007152-T1	OTHER	0.016882	0.983118	
H9P43_007153-T1	OTHER	0.001844	0.998156	
H9P43_007154-T1	OTHER	0.000336	0.999664	
H9P43_007155-T1	OTHER	0.003109	0.996891	
H9P43_007156-T1	OTHER	0.017562	0.982438	
H9P43_007157-T1	OTHER	0.000373	0.999627	
H9P43_007158-T1	OTHER	0.001649	0.998351	
H9P43_007159-T1	OTHER	0.003693	0.996307	
H9P43_007160-T1	OTHER	0.003580	0.996420	
H9P43_007161-T1	OTHER	0.000660	0.999340	
H9P43_007162-T1	OTHER	0.000256	0.999744	
H9P43_007163-T1	OTHER	0.001372	0.998628	
H9P43_007164-T1	OTHER	0.001090	0.998910	
H9P43_007165-T1	SP(Sec/SPI)	0.962553	0.037447	CS pos: 24-25. ASA-HF. Pr: 0.6040
H9P43_007166-T1	OTHER	0.003289	0.996711	
H9P43_007167-T1	OTHER	0.000963	0.999037	
H9P43_007168-T1	OTHER	0.004512	0.995488	
H9P43_007169-T1	OTHER	0.001460	0.998540	
H9P43_007170-T1	OTHER	0.001349	0.998651	
H9P43_007171-T1	OTHER	0.000699	0.999301	
H9P43_007172-T1	OTHER	0.032696	0.967304	
H9P43_007173-T1	OTHER	0.000784	0.999216	
H9P43_007174-T1	SP(Sec/SPI)	0.997700	0.002300	CS pos: 22-23. ADA-AW. Pr: 0.8969
H9P43_007175-T1	OTHER	0.000817	0.999183	
H9P43_007176-T1	SP(Sec/SPI)	0.995258	0.004742	CS pos: 22-23. ADA-AW. Pr: 0.8803
H9P43_007177-T1	OTHER	0.097321	0.902679	
H9P43_007178-T1	OTHER	0.003128	0.996872	
H9P43_007179-T1	OTHER	0.003879	0.996121	
H9P43_007180-T1	OTHER	0.000917	0.999083	
H9P43_007181-T1	OTHER	0.000809	0.999191	
H9P43_007182-T1	OTHER	0.002745	0.997255	
H9P43_007183-T1	OTHER	0.002033	0.997967	
H9P43_007184-T1	OTHER	0.000914	0.999086	
H9P43_007185-T1	OTHER	0.036002	0.963998	
H9P43_007186-T1	OTHER	0.009413	0.990587	
H9P43_007187-T1	OTHER	0.004437	0.995563	
H9P43_007188-T1	OTHER	0.013056	0.986944	
H9P43_007189-T1	OTHER	0.000344	0.999656	
H9P43_007190-T1	OTHER	0.001045	0.998955	
H9P43_007191-T1	OTHER	0.001503	0.998497	
H9P43_007192-T1	OTHER	0.002607	0.997393	
H9P43_007193-T1	OTHER	0.001397	0.998603	
H9P43_007194-T1	OTHER	0.003050	0.996950	
H9P43_007195-T1	OTHER	0.003050	0.996950	
H9P43_007196-T1	OTHER	0.000734	0.999266	
H9P43_007197-T1	OTHER	0.001965	0.998035	
H9P43_007198-T1	OTHER	0.001618	0.998382	
H9P43_007199-T1	OTHER	0.006886	0.993114	
H9P43_007200-T1	OTHER	0.001325	0.998675	
H9P43_007201-T1	OTHER	0.001656	0.998344	
H9P43_007202-T1	OTHER	0.000287	0.999713	
H9P43_007203-T1	OTHER	0.001984	0.998016	
H9P43_007204-T1	OTHER	0.001773	0.998227	
H9P43_007205-T1	OTHER	0.000438	0.999562	
H9P43_007206-T1	OTHER	0.002115	0.997885	
H9P43_007207-T1	OTHER	0.001693	0.998307	
H9P43_007208-T1	OTHER	0.002191	0.997809	
H9P43_007209-T1	SP(Sec/SPI)	0.956341	0.043659	CS pos: 20-21. AWA-AH. Pr: 0.8349
H9P43_007210-T1	OTHER	0.012587	0.987413	
H9P43_007211-T1	OTHER	0.024653	0.975347	
H9P43_007212-T1	OTHER	0.000631	0.999369	
H9P43_007213-T1	OTHER	0.001693	0.998307	
H9P43_007214-T1	OTHER	0.003024	0.996976	
H9P43_007215-T1	OTHER	0.002425	0.997575	
H9P43_007216-T1	OTHER	0.000763	0.999237	
H9P43_007217-T1	OTHER	0.002941	0.997059	
H9P43_007218-T1	OTHER	0.001282	0.998718	
H9P43_007219-T1	OTHER	0.029289	0.970711	
H9P43_007220-T1	OTHER	0.006944	0.993056	
H9P43_007221-T1	OTHER	0.002224	0.997776	
H9P43_007222-T1	OTHER	0.000415	0.999585	
H9P43_007223-T1	OTHER	0.001140	0.998860	
H9P43_007224-T1	OTHER	0.006781	0.993219	
H9P43_007225-T1	OTHER	0.000431	0.999569	
H9P43_007226-T1	OTHER	0.000375	0.999625	
H9P43_007227-T1	OTHER	0.002199	0.997801	
H9P43_007228-T1	OTHER	0.020298	0.979702	
H9P43_007229-T1	OTHER	0.001041	0.998959	
H9P43_007230-T1	OTHER	0.003852	0.996148	
H9P43_007231-T1	OTHER	0.001261	0.998739	
H9P43_007232-T1	OTHER	0.000471	0.999529	
H9P43_007233-T1	OTHER	0.003225	0.996775	
H9P43_007234-T1	OTHER	0.023082	0.976918	
H9P43_007235-T1	OTHER	0.003159	0.996841	
H9P43_007236-T1	OTHER	0.003127	0.996873	
H9P43_007237-T1	OTHER	0.003158	0.996842	
H9P43_007238-T1	OTHER	0.000916	0.999084	
H9P43_007239-T1	OTHER	0.003339	0.996661	
H9P43_007240-T1	OTHER	0.001436	0.998564	
H9P43_007241-T1	OTHER	0.004891	0.995109	
H9P43_007242-T1	OTHER	0.001900	0.998100	
H9P43_007243-T1	OTHER	0.005757	0.994243	
H9P43_007244-T1	OTHER	0.002764	0.997236	
H9P43_007245-T1	OTHER	0.004099	0.995901	
H9P43_007246-T1	OTHER	0.002366	0.997634	
H9P43_007247-T1	OTHER	0.000534	0.999466	
H9P43_007248-T1	OTHER	0.000974	0.999026	
H9P43_007249-T1	OTHER	0.001619	0.998381	
H9P43_007250-T1	OTHER	0.000377	0.999623	
H9P43_007251-T1	OTHER	0.003912	0.996088	
H9P43_007252-T1	OTHER	0.000855	0.999145	
H9P43_007253-T1	OTHER	0.003534	0.996466	
H9P43_007254-T1	OTHER	0.001552	0.998448	
H9P43_007255-T1	OTHER	0.000261	0.999739	
H9P43_007256-T1	OTHER	0.001203	0.998797	
H9P43_007257-T1	OTHER	0.000588	0.999412	
H9P43_007258-T1	OTHER	0.000488	0.999512	
H9P43_007259-T1	OTHER	0.000594	0.999406	
H9P43_007260-T1	OTHER	0.003354	0.996646	
H9P43_007261-T1	OTHER	0.002657	0.997343	
H9P43_007262-T1	OTHER	0.000434	0.999566	
H9P43_007263-T1	OTHER	0.002566	0.997434	
H9P43_007264-T1	OTHER	0.071441	0.928559	
H9P43_007265-T1	OTHER	0.016904	0.983096	
H9P43_007266-T1	OTHER	0.000884	0.999116	
H9P43_007267-T1	OTHER	0.000427	0.999573	
H9P43_007268-T1	OTHER	0.021202	0.978798	
H9P43_007269-T1	OTHER	0.003189	0.996811	
H9P43_007270-T1	OTHER	0.001815	0.998185	
H9P43_007271-T1	OTHER	0.001252	0.998748	
H9P43_007272-T1	OTHER	0.000644	0.999356	
H9P43_007273-T1	OTHER	0.000505	0.999495	
H9P43_007274-T1	OTHER	0.002057	0.997943	
H9P43_007275-T1	OTHER	0.000697	0.999303	
H9P43_007276-T1	OTHER	0.002725	0.997275	
H9P43_007277-T1	SP(Sec/SPI)	0.864228	0.135772	CS pos: 24-25. AAG-AV. Pr: 0.3211
H9P43_007278-T1	OTHER	0.001035	0.998965	
H9P43_007279-T1	OTHER	0.148633	0.851367	
H9P43_007280-T1	OTHER	0.000882	0.999118	
H9P43_007281-T1	OTHER	0.000863	0.999137	
H9P43_007282-T1	SP(Sec/SPI)	0.996461	0.003539	CS pos: 24-25. ATA-GP. Pr: 0.8171
H9P43_007283-T1	OTHER	0.000264	0.999736	
H9P43_007284-T1	OTHER	0.001931	0.998069	
H9P43_007285-T1	OTHER	0.001256	0.998744	
H9P43_007286-T1	OTHER	0.001467	0.998533	
H9P43_007287-T1	OTHER	0.015535	0.984465	
H9P43_007288-T1	OTHER	0.007441	0.992559	
H9P43_007289-T1	OTHER	0.000953	0.999047	
H9P43_007290-T1	OTHER	0.000651	0.999349	
H9P43_007291-T1	OTHER	0.054852	0.945148	
H9P43_007292-T1	OTHER	0.021729	0.978271	
H9P43_007293-T1	OTHER	0.003119	0.996881	
H9P43_007294-T1	OTHER	0.000406	0.999594	
H9P43_007295-T1	OTHER	0.000747	0.999253	
H9P43_007296-T1	OTHER	0.007091	0.992909	
H9P43_007297-T1	OTHER	0.012654	0.987346	
H9P43_007298-T1	OTHER	0.001321	0.998679	
H9P43_007299-T1	OTHER	0.000771	0.999229	
H9P43_007300-T1	SP(Sec/SPI)	0.997981	0.002019	CS pos: 23-24. AAA-AE. Pr: 0.5270
H9P43_007301-T1	OTHER	0.000637	0.999363	
H9P43_007302-T1	OTHER	0.000538	0.999462	
H9P43_007303-T1	OTHER	0.000231	0.999769	
H9P43_007304-T1	OTHER	0.001089	0.998911	
H9P43_007305-T1	OTHER	0.002595	0.997405	
H9P43_007306-T1	OTHER	0.000574	0.999426	
H9P43_007307-T1	OTHER	0.001007	0.998993	
H9P43_007308-T1	OTHER	0.002751	0.997249	
H9P43_007309-T1	OTHER	0.002517	0.997483	
H9P43_007310-T1	OTHER	0.003016	0.996984	
H9P43_007311-T1	OTHER	0.091801	0.908199	
H9P43_007312-T1	OTHER	0.000806	0.999194	
H9P43_007313-T1	OTHER	0.004362	0.995638	
H9P43_007314-T1	OTHER	0.001342	0.998658	
H9P43_007315-T1	OTHER	0.004493	0.995507	
H9P43_007316-T1	OTHER	0.026894	0.973106	
H9P43_007317-T1	OTHER	0.003314	0.996686	
H9P43_007318-T1	OTHER	0.031749	0.968251	
H9P43_007319-T1	OTHER	0.034858	0.965142	
H9P43_007320-T1	OTHER	0.010132	0.989868	
H9P43_007321-T1	OTHER	0.002368	0.997632	
H9P43_007322-T1	OTHER	0.001325	0.998675	
H9P43_007323-T1	OTHER	0.011487	0.988513	
H9P43_007324-T1	OTHER	0.034841	0.965159	
H9P43_007325-T1	OTHER	0.332443	0.667557	
H9P43_007326-T1	OTHER	0.000979	0.999021	
H9P43_007327-T1	OTHER	0.006869	0.993131	
H9P43_007328-T1	OTHER	0.000695	0.999305	
H9P43_007329-T1	SP(Sec/SPI)	0.887836	0.112164	CS pos: 25-26. AVA-LP. Pr: 0.6399
H9P43_007330-T1	OTHER	0.000750	0.999250	
H9P43_007331-T1	OTHER	0.001471	0.998529	
H9P43_007332-T1	OTHER	0.000660	0.999340	
H9P43_007333-T1	OTHER	0.001479	0.998521	
H9P43_007334-T1	OTHER	0.000421	0.999579	
H9P43_007335-T1	OTHER	0.007767	0.992233	
H9P43_007336-T1	OTHER	0.002334	0.997666	
H9P43_007337-T1	OTHER	0.001773	0.998227	
H9P43_007338-T1	OTHER	0.001940	0.998060	
H9P43_007339-T1	OTHER	0.001074	0.998926	
H9P43_007340-T1	OTHER	0.003945	0.996055	
H9P43_007341-T1	OTHER	0.001321	0.998679	
H9P43_007342-T1	OTHER	0.000917	0.999083	
H9P43_007343-T1	OTHER	0.001616	0.998384	
H9P43_007344-T1	OTHER	0.000527	0.999473	
H9P43_007345-T1	OTHER	0.003944	0.996056	
H9P43_007346-T1	OTHER	0.001673	0.998327	
H9P43_007347-T1	OTHER	0.001004	0.998996	
H9P43_007348-T1	OTHER	0.004124	0.995876	
H9P43_007349-T1	OTHER	0.000659	0.999341	
H9P43_007350-T1	OTHER	0.000781	0.999219	
H9P43_007351-T1	OTHER	0.001147	0.998853	
H9P43_007352-T1	SP(Sec/SPI)	0.966715	0.033285	CS pos: 30-31. VSA-QR. Pr: 0.9148
H9P43_007353-T1	OTHER	0.001080	0.998920	
H9P43_007354-T1	OTHER	0.000610	0.999390	
H9P43_007355-T1	OTHER	0.002482	0.997518	
H9P43_007356-T1	OTHER	0.005824	0.994176	
H9P43_007357-T1	OTHER	0.000730	0.999270	
H9P43_007358-T1	OTHER	0.001394	0.998606	
H9P43_007359-T1	OTHER	0.009240	0.990760	
H9P43_007360-T1	OTHER	0.004437	0.995563	
