# BUSCO version is: 5.3.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-08-05, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
10531at4751	Fragmented	H9P43_009509-T1	153.5	215	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Complete	H9P43_006303-T1	1359.4	991	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	H9P43_003127-T1	180.5	389	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	H9P43_004066-T1	1346.0	1216	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Fragmented	H9P43_005899-T1	223.1	626	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	H9P43_000408-T1	625.5	1184	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	H9P43_003762-T1	1236.3	877	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	H9P43_009400-T1	1165.3	819	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	H9P43_001364-T1	1659.1	1240	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	H9P43_004678-T1	1034.0	887	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Missing
14986at4751	Complete	H9P43_007502-T1	811.7	742	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	H9P43_004341-T1	717.0	613	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	H9P43_001102-T1	236.0	467	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	H9P43_004056-T1	1239.4	781	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	H9P43_006523-T1	751.7	901	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	H9P43_002953-T1	856.0	684	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	H9P43_001346-T1	643.7	672	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	H9P43_003511-T1	1186.8	831	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	H9P43_003154-T1	182.5	384	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Missing
23856at4751	Complete	H9P43_003367-T1	491.7	975	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	H9P43_004392-T1	377.4	742	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	H9P43_000597-T1	502.3	718	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Missing
26329at4751	Complete	H9P43_008015-T1	1377.0	954	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Missing
29512at4751	Complete	H9P43_006612-T1	493.0	629	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Missing
31324at4751	Complete	H9P43_008028-T1	342.2	708	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	H9P43_001799-T1	598.5	671	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	H9P43_000469-T1	760.9	655	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Missing
34706at4751	Complete	H9P43_005078-T1	368.1	713	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	H9P43_000572-T1	759.5	832	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	H9P43_007106-T1	358.3	652	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	H9P43_005729-T1	739.1	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	H9P43_003273-T1	799.8	504	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	H9P43_010083-T1	206.3	359	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	H9P43_001881-T1	224.3	391	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Missing
39833at4751	Missing
43842at4751	Complete	H9P43_007431-T1	250.4	463	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	H9P43_004865-T1	287.3	540	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	H9P43_009033-T1	864.4	727	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Missing
46666at4751	Complete	H9P43_000313-T1	665.0	806	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Missing
46918at4751	Complete	H9P43_002065-T1	338.7	400	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	H9P43_003750-T1	392.1	540	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	H9P43_009517-T1	1079.0	881	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	H9P43_002585-T1	581.8	469	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	H9P43_007550-T1	674.4	593	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Missing
50835at4751	Complete	H9P43_005071-T1	854.0	632	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	H9P43_008512-T1	521.1	433	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	H9P43_004391-T1	767.0	654	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	H9P43_003548-T1	599.0	700	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	H9P43_007901-T1	801.6	708	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	H9P43_002946-T1	436.2	402	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	H9P43_000811-T1	269.5	397	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Complete	H9P43_000446-T1	215.5	490	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	H9P43_000616-T1	842.3	771	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	H9P43_005579-T1	977.8	681	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	H9P43_004400-T1	164.3	542	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	H9P43_004867-T1	681.7	605	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	H9P43_001287-T1	229.1	344	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	H9P43_000409-T1	274.9	517	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Complete	H9P43_004625-T1	147.9	386	https://www.orthodb.org/v10?query=61857at4751	Exocyst complex protein EXO70
62846at4751	Complete	H9P43_003563-T1	323.9	417	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	H9P43_005714-T1	493.7	563	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Missing
64002at4751	Complete	H9P43_007211-T1	433.0	468	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Complete	H9P43_004314-T1	819.8	521	https://www.orthodb.org/v10?query=64498at4751	glucosamine-fructose-6-phosphate aminotransferase
65334at4751	Complete	H9P43_006360-T1	501.4	478	https://www.orthodb.org/v10?query=65334at4751	WD40-repeat-containing domain
65499at4751	Complete	H9P43_005752-T1	630.2	499	https://www.orthodb.org/v10?query=65499at4751	AP-1 complex subunit gamma
66151at4751	Complete	H9P43_002999-T1	437.4	550	https://www.orthodb.org/v10?query=66151at4751	Tetratricopeptide repeat
67284at4751	Complete	H9P43_002624-T1	148.6	466	https://www.orthodb.org/v10?query=67284at4751	WD40-repeat-containing domain
67399at4751	Complete	H9P43_008764-T1	593.1	474	https://www.orthodb.org/v10?query=67399at4751	Glutamine-dependent NAD(+) synthetase
67806at4751	Fragmented	H9P43_000415-T1	122.8	288	https://www.orthodb.org/v10?query=67806at4751	actin-like ATPase domain-containing protein
68466at4751	Complete	H9P43_001538-T1	943.7	810	https://www.orthodb.org/v10?query=68466at4751	FACT complex subunit SPT16
68881at4751	Complete	H9P43_000546-T1	182.4	351	https://www.orthodb.org/v10?query=68881at4751	WD40-repeat-containing domain
71039at4751	Complete	H9P43_008321-T1	987.6	715	https://www.orthodb.org/v10?query=71039at4751	RNA cytidine acetyltransferase
71046at4751	Complete	H9P43_004355-T1	649.6	625	https://www.orthodb.org/v10?query=71046at4751	Vacuolar protein sorting-associated protein 35
73383at4751	Complete	H9P43_002471-T1	606.1	450	https://www.orthodb.org/v10?query=73383at4751	DNA topoisomerase I
73477at4751	Complete	H9P43_000759-T1	305.3	389	https://www.orthodb.org/v10?query=73477at4751	Vacuolar protein 8
73771at4751	Complete	H9P43_000745-T1	654.2	594	https://www.orthodb.org/v10?query=73771at4751	WD40-repeat-containing domain
75033at4751	Complete	H9P43_000214-T1	346.0	407	https://www.orthodb.org/v10?query=75033at4751	RNA polymerase I-specific transcription initiation factor RRN3
75456at4751	Complete	H9P43_010080-T1	183.5	369	https://www.orthodb.org/v10?query=75456at4751	Vps53-like, N-terminal
75463at4751	Missing
75709at4751	Complete	H9P43_001548-T1	862.8	755	https://www.orthodb.org/v10?query=75709at4751	Lysophospholipase NTE1
75976at4751	Missing
76196at4751	Complete	H9P43_008872-T1	526.3	349	https://www.orthodb.org/v10?query=76196at4751	Histidine biosynthesis trifunctional protein
76893at4751	Complete	H9P43_004148-T1	816.1	497	https://www.orthodb.org/v10?query=76893at4751	ATPase, AAA-type, conserved site
76975at4751	Missing
78289at4751	Complete	H9P43_008144-T1	508.4	481	https://www.orthodb.org/v10?query=78289at4751	Fimbrin
78665at4751	Complete	H9P43_008461-T1	285.7	435	https://www.orthodb.org/v10?query=78665at4751	Spindle pole body component
79262at4751	Complete	H9P43_007833-T1	731.7	488	https://www.orthodb.org/v10?query=79262at4751	Electron transfer flavoprotein-ubiquinone oxidoreductase
79294at4751	Complete	H9P43_003232-T1	679.6	446	https://www.orthodb.org/v10?query=79294at4751	Bifunctional purine biosynthesis protein ADE17
79797at4751	Complete	H9P43_002609-T1	510.0	736	https://www.orthodb.org/v10?query=79797at4751	WD40-repeat-containing domain
79988at4751	Complete	H9P43_001681-T1	96.1	200	https://www.orthodb.org/v10?query=79988at4751	Polynucleotide 5'-hydroxyl-kinase grc3
81295at4751	Complete	H9P43_005758-T1	776.7	440	https://www.orthodb.org/v10?query=81295at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
81614at4751	Missing
81687at4751	Complete	H9P43_007604-T1	742.5	479	https://www.orthodb.org/v10?query=81687at4751	asparagine synthase (glutamine-hydrolyzing)
84250at4751	Complete	H9P43_000261-T1	318.2	506	https://www.orthodb.org/v10?query=84250at4751	TRAPP II complex, TRAPPC10
84829at4751	Complete	H9P43_004200-T1	211.5	224	https://www.orthodb.org/v10?query=84829at4751	DUF747-domain-containing protein
85793at4751	Complete	H9P43_002133-T1	229.7	587	https://www.orthodb.org/v10?query=85793at4751	cohesin complex subunit SA-1/2
86293at4751	Missing
87251at4751	Complete	H9P43_001549-T1	474.6	803	https://www.orthodb.org/v10?query=87251at4751	Ribosomal RNA-processing protein 12
87313at4751	Complete	H9P43_002382-T1	852.6	442	https://www.orthodb.org/v10?query=87313at4751	Elongator complex protein 3
90022at4751	Complete	H9P43_008293-T1	113.9	190	https://www.orthodb.org/v10?query=90022at4751	nucleotide-diphospho-sugar transferase
91135at4751	Complete	H9P43_005910-T1	121.9	335	https://www.orthodb.org/v10?query=91135at4751	Far11/STRP, C-terminal
92267at4751	Complete	H9P43_005550-T1	701.9	511	https://www.orthodb.org/v10?query=92267at4751	Phenylalanyl-tRNA synthetase
93783at4751	Complete	H9P43_005747-T1	237.8	356	https://www.orthodb.org/v10?query=93783at4751	ER membrane protein complex subunit 1
94384at4751	Complete	H9P43_005208-T1	383.6	417	https://www.orthodb.org/v10?query=94384at4751	DNA topoisomerase
94628at4751	Complete	H9P43_004230-T1	837.1	521	https://www.orthodb.org/v10?query=94628at4751	DNA helicase
95253at4751	Complete	H9P43_004238-T1	337.6	525	https://www.orthodb.org/v10?query=95253at4751	WD40-repeat-containing domain
96633at4751	Complete	H9P43_007600-T1	399.7	642	https://www.orthodb.org/v10?query=96633at4751	Cleavage and polyadenylation specificity factor subunit 2
97141at4751	Missing
98519at4751	Duplicated	H9P43_004813-T1	117.0	297	https://www.orthodb.org/v10?query=98519at4751	Symplekin/Pta1
98519at4751	Duplicated	H9P43_004771-T1	116.6	401	https://www.orthodb.org/v10?query=98519at4751	Symplekin/Pta1
98733at4751	Complete	H9P43_001236-T1	900.9	558	https://www.orthodb.org/v10?query=98733at4751	threonyl-tRNA synthetase
98739at4751	Complete	H9P43_003046-T1	551.5	417	https://www.orthodb.org/v10?query=98739at4751	Homoaconitase, mitochondrial
100957at4751	Complete	H9P43_006471-T1	377.4	660	https://www.orthodb.org/v10?query=100957at4751	ARM repeat-containing protein
101133at4751	Complete	H9P43_001062-T1	451.7	387	https://www.orthodb.org/v10?query=101133at4751	Phosphoribosylaminoimidazole carboxylase
103183at4751	Complete	H9P43_000126-T1	471.0	571	https://www.orthodb.org/v10?query=103183at4751	DNA repair protein
103461at4751	Complete	H9P43_009860-T1	750.8	590	https://www.orthodb.org/v10?query=103461at4751	P-loop containing nucleoside triphosphate hydrolase protein
103836at4751	Complete	H9P43_006361-T1	305.4	358	https://www.orthodb.org/v10?query=103836at4751	WD40-repeat-containing domain
104173at4751	Complete	H9P43_008624-T1	327.4	466	https://www.orthodb.org/v10?query=104173at4751	Noc2-domain-containing protein
104415at4751	Complete	H9P43_008511-T1	277.1	403	https://www.orthodb.org/v10?query=104415at4751	WD40-repeat-containing domain
105401at4751	Complete	H9P43_005922-T1	978.4	556	https://www.orthodb.org/v10?query=105401at4751	GroEL-like apical domain superfamily
106281at4751	Complete	H9P43_008906-T1	519.7	919	https://www.orthodb.org/v10?query=106281at4751	endosomal peripheral membrane protein
107136at4751	Complete	H9P43_009043-T1	593.8	500	https://www.orthodb.org/v10?query=107136at4751	glycoside hydrolase family 31 protein
107464at4751	Complete	H9P43_005387-T1	608.3	412	https://www.orthodb.org/v10?query=107464at4751	Glucose-6-phosphate isomerase
109276at4751	Complete	H9P43_007902-T1	341.3	418	https://www.orthodb.org/v10?query=109276at4751	CCAAT-box-binding transcription factor
111022at4751	Complete	H9P43_001552-T1	301.6	265	https://www.orthodb.org/v10?query=111022at4751	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
111189at4751	Complete	H9P43_004037-T1	599.3	517	https://www.orthodb.org/v10?query=111189at4751	ATP-dependent RNA helicase DBP10
112646at4751	Complete	H9P43_010032-T1	50.6	252	https://www.orthodb.org/v10?query=112646at4751	oligomeric Golgi complex subunit 6
112937at4751	Complete	H9P43_002380-T1	431.9	471	https://www.orthodb.org/v10?query=112937at4751	P-loop containing nucleoside triphosphate hydrolase protein
115993at4751	Complete	H9P43_007844-T1	641.7	456	https://www.orthodb.org/v10?query=115993at4751	Ribosome biogenesis protein ERB1
117017at4751	Complete	H9P43_007120-T1	672.6	477	https://www.orthodb.org/v10?query=117017at4751	Methionyl-tRNA synthetase
118189at4751	Complete	H9P43_007832-T1	472.6	491	https://www.orthodb.org/v10?query=118189at4751	WD40-repeat-containing domain
118701at4751	Complete	H9P43_005894-T1	755.9	626	https://www.orthodb.org/v10?query=118701at4751	Phosphatidylinositol 3-kinase VPS34
119833at4751	Fragmented	H9P43_003720-T1	317.9	326	https://www.orthodb.org/v10?query=119833at4751	Histone-lysine N-methyltransferase
122507at4751	Complete	H9P43_008669-T1	349.8	439	https://www.orthodb.org/v10?query=122507at4751	WD40-repeat-containing domain
122824at4751	Complete	H9P43_002679-T1	120.8	226	https://www.orthodb.org/v10?query=122824at4751	WD40-repeat-containing domain
123228at4751	Complete	H9P43_003970-T1	859.1	643	https://www.orthodb.org/v10?query=123228at4751	Ribosome biogenesis protein BMS1
123277at4751	Missing
123494at4751	Complete	H9P43_009486-T1	278.2	255	https://www.orthodb.org/v10?query=123494at4751	Actin family
125400at4751	Missing
125935at4751	Complete	H9P43_001585-T1	420.6	387	https://www.orthodb.org/v10?query=125935at4751	tRNA-dihydrouridine(47) synthase 
126037at4751	Complete	H9P43_004751-T1	376.5	407	https://www.orthodb.org/v10?query=126037at4751	SNF2-related, N-terminal domain
126249at4751	Missing
126256at4751	Complete	H9P43_002305-T1	419.6	307	https://www.orthodb.org/v10?query=126256at4751	Non-specific serine/threonine protein kinase
126519at4751	Complete	H9P43_000703-T1	574.5	433	https://www.orthodb.org/v10?query=126519at4751	Imidazole glycerol phosphate synthase hisHF
127140at4751	Complete	H9P43_005453-T1	327.3	351	https://www.orthodb.org/v10?query=127140at4751	Protein arginine N-methyltransferase
129160at4751	Complete	H9P43_003205-T1	635.2	449	https://www.orthodb.org/v10?query=129160at4751	T-complex protein 1 subunit zeta
129326at4751	Complete	H9P43_007487-T1	460.7	677	https://www.orthodb.org/v10?query=129326at4751	Putative nucleolar complex protein 14
129520at4751	Complete	H9P43_009234-T1	582.6	421	https://www.orthodb.org/v10?query=129520at4751	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
130062at4751	Missing
130930at4751	Complete	H9P43_003288-T1	460.2	1587	https://www.orthodb.org/v10?query=130930at4751	Nucleoporin Nup186/Nup192/Nup205
130976at4751	Complete	H9P43_004508-T1	259.6	394	https://www.orthodb.org/v10?query=130976at4751	DNA polymerase alpha subunit B
133954at4751	Missing
135184at4751	Complete	H9P43_005042-T1	161.4	219	https://www.orthodb.org/v10?query=135184at4751	Nitrogen permease regulator 2
135652at4751	Complete	H9P43_005947-T1	468.7	371	https://www.orthodb.org/v10?query=135652at4751	Poly(A) polymerase
137963at4751	Complete	H9P43_005486-T1	709.7	438	https://www.orthodb.org/v10?query=137963at4751	Prolyl-tRNA synthetase
138484at4751	Complete	H9P43_006003-T1	222.7	333	https://www.orthodb.org/v10?query=138484at4751	DNA polymerase epsilon subunit
138695at4751	Complete	H9P43_008150-T1	726.0	526	https://www.orthodb.org/v10?query=138695at4751	Nucleolar GTP-binding protein 1
138697at4751	Complete	H9P43_001234-T1	412.2	368	https://www.orthodb.org/v10?query=138697at4751	Threonine synthase
138833at4751	Complete	H9P43_009998-T1	578.2	486	https://www.orthodb.org/v10?query=138833at4751	Protein phosphatase PP2A regulatory subunit A
141273at4751	Complete	H9P43_009917-T1	289.3	276	https://www.orthodb.org/v10?query=141273at4751	methionine-tRNA ligase
142357at4751	Complete	H9P43_006024-T1	514.1	492	https://www.orthodb.org/v10?query=142357at4751	Ribosomal protein S5 domain 2-type fold
142965at4751	Complete	H9P43_002745-T1	205.6	245	https://www.orthodb.org/v10?query=142965at4751	GPI transamidase component GPI16
143414at4751	Complete	H9P43_002306-T1	192.2	483	https://www.orthodb.org/v10?query=143414at4751	Transcription factor 25
145178at4751	Complete	H9P43_005759-T1	166.4	353	https://www.orthodb.org/v10?query=145178at4751	Topoisomerase 1-associated factor 1
145378at4751	Complete	H9P43_000901-T1	350.5	422	https://www.orthodb.org/v10?query=145378at4751	Eukaryotic translation initiation factor 2A
145524at4751	Complete	H9P43_001917-T1	425.1	308	https://www.orthodb.org/v10?query=145524at4751	Nuclear elongation and deformation protein 1
147028at4751	Complete	H9P43_002922-T1	276.0	312	https://www.orthodb.org/v10?query=147028at4751	WD40-repeat-containing domain
148293at4751	Complete	H9P43_001054-T1	779.3	402	https://www.orthodb.org/v10?query=148293at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
150469at4751	Complete	H9P43_008410-T1	533.0	368	https://www.orthodb.org/v10?query=150469at4751	T-complex protein 1 subunit beta
153083at4751	Complete	H9P43_005615-T1	492.6	579	https://www.orthodb.org/v10?query=153083at4751	Ubiquitin carboxyl-terminal hydrolase
154126at4751	Complete	H9P43_007076-T1	495.1	404	https://www.orthodb.org/v10?query=154126at4751	Ubiquitin-like modifier-activating enzyme ATG7
156073at4751	Missing
160044at4751	Complete	H9P43_006197-T1	348.5	350	https://www.orthodb.org/v10?query=160044at4751	Sodium/hydrogen exchanger
160875at4751	Complete	H9P43_009149-T1	395.6	360	https://www.orthodb.org/v10?query=160875at4751	RNA helicase
160940at4751	Complete	H9P43_009800-T1	140.6	229	https://www.orthodb.org/v10?query=160940at4751	Phosphoserine aminotransferase
160995at4751	Complete	H9P43_007498-T1	673.5	384	https://www.orthodb.org/v10?query=160995at4751	Eukaryotic translation initiation factor 2 subunit gamma
161113at4751	Missing
163318at4751	Missing
165243at4751	Complete	H9P43_008635-T1	206.4	263	https://www.orthodb.org/v10?query=165243at4751	General transcription and DNA repair factor IIH
167290at4751	Missing
167374at4751	Missing
167498at4751	Complete	H9P43_007084-T1	494.2	419	https://www.orthodb.org/v10?query=167498at4751	Signal recognition particle 54 kDa protein
168092at4751	Complete	H9P43_002450-T1	413.9	391	https://www.orthodb.org/v10?query=168092at4751	P-loop containing nucleoside triphosphate hydrolase protein
168489at4751	Missing
169381at4751	Complete	H9P43_005599-T1	305.5	248	https://www.orthodb.org/v10?query=169381at4751	WD40-repeat-containing domain
170297at4751	Complete	H9P43_009568-T1	586.6	496	https://www.orthodb.org/v10?query=170297at4751	26S proteasome non-ATPase regulatory subunit 3
170401at4751	Complete	H9P43_008224-T1	187.2	382	https://www.orthodb.org/v10?query=170401at4751	Zinc finger, RING/FYVE/PHD-type
170904at4751	Complete	H9P43_003140-T1	453.8	956	https://www.orthodb.org/v10?query=170904at4751	P-loop containing nucleoside triphosphate hydrolase protein
171181at4751	Complete	H9P43_000712-T1	110.6	173	https://www.orthodb.org/v10?query=171181at4751	Cytidine deaminase-like protein
171238at4751	Complete	H9P43_000376-T1	414.2	318	https://www.orthodb.org/v10?query=171238at4751	Succinate--CoA ligase 
172113at4751	Complete	H9P43_007704-T1	522.8	298	https://www.orthodb.org/v10?query=172113at4751	Eukaryotic peptide chain release factor subunit 1
172363at4751	Missing
172966at4751	Complete	H9P43_005765-T1	476.0	351	https://www.orthodb.org/v10?query=172966at4751	polyubiquitin-tagged protein recognition complex, Npl4 component
173428at4751	Missing
173995at4751	Complete	H9P43_009277-T1	311.6	317	https://www.orthodb.org/v10?query=173995at4751	Probable cytosolic iron-sulfur protein assembly protein 1
174653at4751	Complete	H9P43_006430-T1	680.0	369	https://www.orthodb.org/v10?query=174653at4751	Adenosylhomocysteinase
174672at4751	Complete	H9P43_010103-T1	186.0	259	https://www.orthodb.org/v10?query=174672at4751	tRNA guanosine-2'-O-methyltransferase
175136at4751	Complete	H9P43_006689-T1	228.0	273	https://www.orthodb.org/v10?query=175136at4751	WD40-repeat-containing domain
175599at4751	Complete	H9P43_001110-T1	99.4	174	https://www.orthodb.org/v10?query=175599at4751	SWR1-complex protein 4
176178at4751	Complete	H9P43_003554-T1	411.8	321	https://www.orthodb.org/v10?query=176178at4751	putative 26S proteasome regulatory subunit rpn6
176478at4751	Complete	H9P43_001143-T1	305.3	329	https://www.orthodb.org/v10?query=176478at4751	CBF-domain-containing protein
176648at4751	Complete	H9P43_005971-T1	268.2	257	https://www.orthodb.org/v10?query=176648at4751	chaperone DnaJ
176748at4751	Complete	H9P43_003234-T1	325.9	431	https://www.orthodb.org/v10?query=176748at4751	WD40-repeat-containing domain
179025at4751	Complete	H9P43_003224-T1	144.3	166	https://www.orthodb.org/v10?query=179025at4751	Nucleotide-diphospho-sugar transferase
179437at4751	Complete	H9P43_008385-T1	534.7	369	https://www.orthodb.org/v10?query=179437at4751	anthranilate synthase component I
179897at4751	Complete	H9P43_009706-T1	159.0	238	https://www.orthodb.org/v10?query=179897at4751	Atg6/Beclin
181890at4751	Complete	H9P43_006785-T1	37.6	97	https://www.orthodb.org/v10?query=181890at4751	Putative RNA polymerase II transcription factor B subunit 1
181959at4751	Complete	H9P43_001182-T1	646.3	351	https://www.orthodb.org/v10?query=181959at4751	26S Proteasome regulatory subunit 6A
183720at4751	Missing
183801at4751	Complete	H9P43_001024-T1	104.7	140	https://www.orthodb.org/v10?query=183801at4751	DNA-directed RNA polymerase III subunit RPC6
