# BUSCO version is: 5.3.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
898782at2759	Complete	H9P43_007556-T1	241.2	251
901894at2759	Fragmented	H9P43_009829-T1	166.9	187
905026at2759	Missing
911863at2759	Complete	H9P43_008363-T1	188.7	188
917326at2759	Complete	H9P43_005913-T1	316.6	404
918816at2759	Complete	H9P43_001110-T1	127.4	179
919955at2759	Complete	H9P43_001900-T1	252.4	266
923657at2759	Complete	H9P43_001449-T1	124.5	164
924753at2759	Complete	H9P43_010103-T1	198.9	216
931188at2759	Complete	H9P43_001304-T1	457.3	344
937275at2759	Complete	H9P43_003315-T1	62.4	99
937686at2759	Complete	H9P43_008254-T1	423.6	342
939345at2759	Fragmented	H9P43_001800-T1	58.9	86
944899at2759	Complete	H9P43_007830-T1	353.6	228
946128at2759	Complete	H9P43_006785-T1	231.6	422
956854at2759	Complete	H9P43_002954-T1	136.9	173
973442at2759	Complete	H9P43_007783-T1	115.1	178
974865at2759	Complete	H9P43_007377-T1	235.5	227
975158at2759	Complete	H9P43_007628-T1	138.1	281
975557at2759	Complete	H9P43_007483-T1	467.0	443
976469at2759	Complete	H9P43_004149-T1	130.6	220
981902at2759	Fragmented	H9P43_004649-T1	116.6	141
996662at2759	Complete	H9P43_005150-T1	178.1	209
1001705at2759	Complete	H9P43_008128-T1	154.2	245
1003258at2759	Complete	H9P43_001443-T1	248.6	278
1010730at2759	Complete	H9P43_008377-T1	402.0	259
1014314at2759	Missing
1018517at2759	Complete	H9P43_007313-T1	293.4	209
1019762at2759	Complete	H9P43_004638-T1	129.0	346
1025450at2759	Complete	H9P43_001421-T1	236.6	306
1030907at2759	Complete	H9P43_004431-T1	201.6	273
1032689at2759	Duplicated	H9P43_008939-T1	185.1	158
1032689at2759	Duplicated	H9P43_004657-T1	185.1	158
1038775at2759	Missing
1041560at2759	Complete	H9P43_007978-T1	158.6	323
1049599at2759	Missing
1051021at2759	Complete	H9P43_007209-T1	339.4	325
1053181at2759	Complete	H9P43_003696-T1	43.0	161
1057950at2759	Complete	H9P43_009583-T1	208.6	235
1065019at2759	Duplicated	H9P43_008937-T1	286.6	259
1065019at2759	Duplicated	H9P43_003743-T1	286.4	260
1076134at2759	Complete	H9P43_009360-T1	231.4	185
1079130at2759	Complete	H9P43_003611-T1	296.5	235
1079827at2759	Complete	H9P43_005567-T1	361.7	223
1085752at2759	Complete	H9P43_009706-T1	160.3	245
1087488at2759	Complete	H9P43_004107-T1	183.1	281
1090038at2759	Complete	H9P43_003452-T1	126.7	99
1094121at2759	Complete	H9P43_002269-T1	85.8	128
1096688at2759	Complete	H9P43_000435-T1	319.5	212
1106766at2759	Complete	H9P43_005765-T1	130.3	189
1107630at2759	Complete	H9P43_007733-T1	243.9	207
1108845at2759	Complete	H9P43_006122-T1	424.4	325
1111142at2759	Complete	H9P43_007923-T1	223.2	325
1112002at2759	Complete	H9P43_002609-T1	484.0	563
1115196at2759	Complete	H9P43_001494-T1	351.2	251
1128607at2759	Complete	H9P43_001678-T1	326.5	298
1129824at2759	Complete	H9P43_006018-T1	86.4	133
1138059at2759	Complete	H9P43_006296-T1	303.9	210
1157302at2759	Duplicated	H9P43_002248-T1	366.9	203
1157302at2759	Duplicated	H9P43_002273-T1	366.9	203
1161199at2759	Complete	H9P43_001420-T1	41.9	150
1173229at2759	Complete	H9P43_004849-T1	122.2	207
1178688at2759	Complete	H9P43_005405-T1	107.6	140
1182451at2759	Complete	H9P43_002441-T1	132.0	171
1193442at2759	Complete	H9P43_003967-T1	341.4	269
1194691at2759	Complete	H9P43_001331-T1	341.4	271
1194797at2759	Complete	H9P43_009076-T1	324.6	398
1197019at2759	Missing
1200489at2759	Complete	H9P43_001878-T1	104.0	122
1217666at2759	Complete	H9P43_007597-T1	227.7	176
1220881at2759	Complete	H9P43_009336-T1	114.2	146
1222562at2759	Complete	H9P43_005955-T1	154.5	115
1223488at2759	Complete	H9P43_001444-T1	57.6	77
1228942at2759	Complete	H9P43_002978-T1	201.4	163
1233814at2759	Complete	H9P43_002689-T1	150.7	157
1236198at2759	Complete	H9P43_003947-T1	176.7	122
1247641at2759	Complete	H9P43_000822-T1	112.9	173
1248958at2759	Complete	H9P43_006612-T1	478.1	616
1249159at2759	Complete	H9P43_004337-T1	132.7	159
1251252at2759	Fragmented	H9P43_001492-T1	47.8	63
1257440at2759	Complete	H9P43_003591-T1	160.1	127
1258856at2759	Complete	H9P43_007986-T1	253.9	528
1259741at2759	Complete	H9P43_002172-T1	352.9	232
1260807at2759	Complete	H9P43_001248-T1	256.3	220
1264469at2759	Complete	H9P43_009902-T1	156.8	152
1266231at2759	Complete	H9P43_004838-T1	269.8	187
1269244at2759	Fragmented	H9P43_009182-T1	49.1	80
1269649at2759	Complete	H9P43_007568-T1	266.6	166
1275837at2759	Complete	H9P43_008904-T1	368.5	243
1284731at2759	Complete	H9P43_003119-T1	94.4	130
1287094at2759	Complete	H9P43_000682-T1	142.1	122
1287401at2759	Complete	H9P43_009793-T1	243.4	160
1291729at2759	Complete	H9P43_006539-T1	62.9	106
1304061at2759	Complete	H9P43_002119-T1	160.1	134
1309031at2759	Fragmented	H9P43_006531-T1	183.8	259
1312453at2759	Complete	H9P43_008016-T1	449.1	548
1314980at2759	Complete	H9P43_007600-T1	320.2	469
1322299at2759	Complete	H9P43_004089-T1	293.0	282
1322642at2759	Complete	H9P43_004423-T1	184.4	153
1323575at2759	Complete	H9P43_001997-T1	149.5	112
1324510at2759	Complete	H9P43_008092-T1	268.0	267
1338131at2759	Complete	H9P43_008462-T1	241.6	144
1339553at2759	Complete	H9P43_010007-T1	161.6	270
1342242at2759	Complete	H9P43_008625-T1	161.9	226
1346165at2759	Complete	H9P43_004777-T1	312.8	243
1346432at2759	Complete	H9P43_002840-T1	106.3	127
1348942at2759	Complete	H9P43_004242-T1	74.2	147
1355894at2759	Complete	H9P43_002641-T1	200.9	141
1358374at2759	Complete	H9P43_008901-T1	262.5	208
1364586at2759	Complete	H9P43_002949-T1	93.2	156
1370285at2759	Complete	H9P43_010032-T1	108.4	270
1370304at2759	Complete	H9P43_003497-T1	120.2	325
1377237at2759	Complete	H9P43_004357-T1	115.0	131
1379600at2759	Complete	H9P43_010080-T1	297.4	493
1380409at2759	Complete	H9P43_001060-T1	168.3	142
1382842at2759	Complete	H9P43_004424-T1	119.0	121
1395649at2759	Complete	H9P43_000812-T1	27.8	94
1398309at2759	Complete	H9P43_005969-T1	70.7	90
1404162at2759	Complete	H9P43_003053-T1	119.1	178
1405073at2759	Complete	H9P43_001877-T1	229.3	156
1405146at2759	Complete	H9P43_000536-T1	116.8	118
1407446at2759	Complete	H9P43_003655-T1	35.5	82
1421503at2759	Complete	H9P43_003039-T1	183.6	109
1423847at2759	Complete	H9P43_002349-T1	189.6	256
1426075at2759	Complete	H9P43_004352-T1	98.0	97
1428265at2759	Complete	H9P43_009261-T1	151.3	194
1428854at2759	Complete	H9P43_006225-T1	377.1	360
1430056at2759	Complete	H9P43_003092-T1	100.6	117
1432328at2759	Complete	H9P43_007469-T1	240.7	175
1434266at2759	Complete	H9P43_001875-T1	99.5	129
1440961at2759	Missing
1441854at2759	Complete	H9P43_004701-T1	243.1	235
1442062at2759	Complete	H9P43_001039-T1	91.4	203
1445102at2759	Complete	H9P43_007245-T1	286.2	190
1450538at2759	Complete	H9P43_004984-T1	132.1	151
1454155at2759	Complete	H9P43_003892-T1	60.0	107
1455730at2759	Complete	H9P43_003188-T1	378.3	339
1459797at2759	Complete	H9P43_005132-T1	74.8	96
1474000at2759	Complete	H9P43_006910-T1	77.6	114
1479417at2759	Complete	H9P43_004315-T1	277.4	176
1488235at2759	Complete	H9P43_007467-T1	180.5	138
1488436at2759	Complete	H9P43_008203-T1	116.5	62
1490022at2759	Complete	H9P43_000132-T1	175.1	160
1504863at2759	Complete	H9P43_002245-T1	142.4	105
1513531at2759	Complete	H9P43_002608-T1	200.9	200
1525971at2759	Complete	H9P43_008364-T1	90.0	79
1526152at2759	Complete	H9P43_007835-T1	98.7	85
1530008at2759	Complete	H9P43_008459-T1	132.1	88
1538526at2759	Complete	H9P43_003362-T1	133.8	98
1545004at2759	Complete	H9P43_000178-T1	82.9	70
1552706at2759	Complete	H9P43_007948-T1	76.8	89
1558822at2759	Complete	H9P43_006155-T1	84.8	62
1563319at2759	Complete	H9P43_001204-T1	63.6	119
1567796at2759	Complete	H9P43_000234-T1	143.9	132
1575179at2759	Complete	H9P43_005508-T1	14.7	46
1576404at2759	Complete	H9P43_004239-T1	106.2	178
1588798at2759	Complete	H9P43_001159-T1	96.3	119
1593937at2759	Complete	H9P43_001316-T1	33.0	94
1617752at2759	Complete	H9P43_004916-T1	117.4	93
1620056at2759	Complete	H9P43_004228-T1	43.0	73
1623701at2759	Complete	H9P43_003209-T1	112.0	92
1626636at2759	Complete	H9P43_007623-T1	86.6	124
1633672at2759	Fragmented	H9P43_009964-T1	125.9	80
1645187at2759	Complete	H9P43_006199-T1	51.2	36
