# BUSCO version is: 5.3.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
679771at2759	Missing
687505at2759	Complete	c_be_22_3	2215350	2216598	-	167.9	276
692986at2759	Fragmented	c_be_22_15	821368	823872	-	75.2	169
708105at2759	Complete	c_be_22_6	408929	410179	-	114.8	171
719531at2759	Complete	c_be_22_3	876959	878445	-	330.2	283
720340at2759	Complete	c_be_22_2	1307040	1308405	-	122.5	192
721605at2759	Complete	c_be_22_1	3647196	3648388	-	271.6	225
722805at2759	Complete	c_be_22_3	907201	910394	+	210.8	365
734341at2759	Complete	c_be_22_15	38812	39692	+	95.3	158
734666at2759	Complete	c_be_22_3	475851	477416	+	494.5	370
736068at2759	Complete	c_be_22_1	3910854	3912121	-	189.4	302
751335at2759	Complete	c_be_22_5	434104	435775	+	222.2	283
759498at2759	Complete	c_be_22_10	1132021	1133901	+	583.8	421
761109at2759	Missing
768809at2759	Complete	c_be_22_12	413304	414697	-	230.1	248
774318at2759	Complete	c_be_22_1	2527524	2528741	+	282.4	312
777920at2759	Complete	c_be_22_5	1193877	1195783	-	389.0	334
779909at2759	Complete	c_be_22_10	1555219	1556410	+	246.7	226
801857at2759	Complete	c_be_22_18	29945	31327	+	210.5	199
814241at2759	Complete	c_be_22_13	1161124	1162518	+	136.0	280
817008at2759	Complete	c_be_22_2	2473845	2475192	-	488.2	296
834694at2759	Complete	c_be_22_4	1294355	1296048	-	378.1	305
836599at2759	Complete	c_be_22_15	158742	160230	+	340.1	347
844748at2759	Complete	c_be_22_7	1237592	1239029	+	265.1	344
855834at2759	Complete	c_be_22_1	576405	578301	+	161.9	254
858842at2759	Complete	c_be_22_2	611588	613249	-	245.7	314
865202at2759	Complete	c_be_22_11	1225475	1226616	+	190.5	187
866359at2759	Missing
869548at2759	Complete	c_be_22_10	134338	135185	+	108.7	159
878143at2759	Missing
887370at2759	Complete	c_be_22_2	2500518	2502540	+	281.0	310
891751at2759	Complete	c_be_22_1	3058987	3060730	-	254.1	214
898782at2759	Complete	c_be_22_10	223770	225584	-	249.3	251
901894at2759	Complete	c_be_22_15	949432	951173	+	226.8	329
905026at2759	Missing
911863at2759	Complete	c_be_22_11	1050231	1052246	-	182.9	189
917326at2759	Complete	c_be_22_6	1780832	1782775	-	317.3	404
918816at2759	Complete	c_be_22_1	2970038	2971306	+	133.3	216
919955at2759	Complete	c_be_22_1	5035201	5036471	+	244.4	267
923657at2759	Complete	c_be_22_1	3827394	3828271	-	122.7	164
924753at2759	Complete	c_be_22_17	116902	118389	-	198.7	216
931188at2759	Complete	c_be_22_1	3453017	3454621	+	446.6	349
937275at2759	Complete	c_be_22_3	1371940	1372953	-	62.8	99
937686at2759	Complete	c_be_22_11	737397	738930	+	417.6	342
939345at2759	Missing
944899at2759	Complete	c_be_22_10	1093418	1094671	+	353.8	228
946128at2759	Complete	c_be_22_8	845815	847439	-	198.7	387
956854at2759	Complete	c_be_22_3	351398	352120	-	136.7	173
973442at2759	Complete	c_be_22_10	941756	942942	+	116.1	178
974865at2759	Complete	c_be_22_9	1379174	1380025	-	236.1	227
975158at2759	Complete	c_be_22_10	499321	500591	+	123.3	206
975557at2759	Complete	c_be_22_10	34246	36628	-	466.7	446
976469at2759	Complete	c_be_22_4	1169441	1170445	+	131.0	220
981902at2759	Fragmented	c_be_22_4	2477798	2479542	-	132.4	144
996662at2759	Complete	c_be_22_5	1470150	1471147	-	179.3	209
1001705at2759	Complete	c_be_22_11	291158	292668	-	142.4	245
1003258at2759	Complete	c_be_22_1	3819127	3820405	+	249.7	285
1010730at2759	Complete	c_be_22_11	1079325	1080405	+	401.2	259
1014314at2759	Complete	c_be_22_10	1447924	1448568	-	113.4	194
1018517at2759	Complete	c_be_22_9	1108391	1109294	+	289.5	209
1019762at2759	Complete	c_be_22_4	2461063	2463177	-	129.2	346
1025450at2759	Complete	c_be_22_1	3766882	3768138	+	233.3	273
1030907at2759	Complete	c_be_22_4	1879928	1880935	+	201.6	273
1032689at2759	Duplicated	c_be_22_12	1442650	1443616	-	184.2	158
1032689at2759	Duplicated	c_be_22_4	2501911	2502877	-	181.9	158
1038775at2759	Missing
1041560at2759	Complete	c_be_22_10	1553755	1555011	+	158.5	322
1049599at2759	Missing
1051021at2759	Complete	c_be_22_9	719921	721470	+	292.7	303
1053181at2759	Complete	c_be_22_3	2496259	2497086	+	29.1	110
1057950at2759	Complete	c_be_22_15	227636	229258	-	199.6	235
1065019at2759	Duplicated	c_be_22_12	1439417	1440715	-	286.9	222
1065019at2759	Duplicated	c_be_22_3	2631190	2632479	-	286.7	260
1076134at2759	Complete	c_be_22_14	628670	629479	-	231.5	185
1079130at2759	Complete	c_be_22_3	2217365	2218495	+	292.7	235
1079827at2759	Complete	c_be_22_6	782540	783319	+	361.7	223
1085752at2759	Complete	c_be_22_15	575450	577254	-	161.8	245
1087488at2759	Complete	c_be_22_4	1066901	1068249	-	182.8	281
1090038at2759	Complete	c_be_22_3	1781305	1782516	-	153.4	129
1094121at2759	Missing
1096688at2759	Complete	c_be_22_1	1240482	1241405	-	319.8	212
1106766at2759	Complete	c_be_22_6	1325523	1327600	+	130.2	189
1107630at2759	Complete	c_be_22_10	793751	794700	+	240.4	207
1108845at2759	Complete	c_be_22_7	501798	503108	+	396.9	291
1111142at2759	Complete	c_be_22_10	1394437	1396530	-	217.1	288
1112002at2759	Complete	c_be_22_2	2089342	2092072	+	474.9	565
1115196at2759	Complete	c_be_22_1	3937256	3938500	-	351.8	251
1128607at2759	Complete	c_be_22_1	4441320	4442294	+	326.8	298
1129824at2759	Complete	c_be_22_7	129155	129883	-	84.0	130
1138059at2759	Complete	c_be_22_7	1050370	1051194	-	295.3	206
1157302at2759	Duplicated	c_be_22_2	1010530	1011252	+	367.0	203
1157302at2759	Duplicated	c_be_22_2	963703	964425	-	367.0	203
1161199at2759	Complete	c_be_22_1	3764589	3765602	+	28.0	136
1173229at2759	Complete	c_be_22_5	572634	574037	+	122.8	207
1178688at2759	Complete	c_be_22_6	247516	248100	+	107.2	152
1182451at2759	Complete	c_be_22_2	1493000	1494080	+	121.0	162
1193442at2759	Complete	c_be_22_4	695045	696610	-	341.5	255
1194691at2759	Complete	c_be_22_1	3516162	3517453	+	336.3	277
1194797at2759	Complete	c_be_22_13	853055	855442	-	324.6	398
1197019at2759	Missing
1200489at2759	Complete	c_be_22_1	4974290	4974924	+	102.2	94
1217666at2759	Complete	c_be_22_10	371003	371825	-	227.7	176
1220881at2759	Complete	c_be_22_14	539822	540995	-	112.3	119
1222562at2759	Complete	c_be_22_6	1903250	1904553	+	140.8	115
1223488at2759	Complete	c_be_22_1	3820481	3821266	-	52.5	70
1228942at2759	Complete	c_be_22_3	420861	421750	-	190.9	163
1233814at2759	Complete	c_be_22_2	2336639	2337301	-	151.0	157
1236198at2759	Complete	c_be_22_4	640139	640573	-	177.9	122
1247641at2759	Complete	c_be_22_1	2206100	2207251	+	113.4	174
1248958at2759	Complete	c_be_22_8	67901	70897	+	470.1	616
1249159at2759	Complete	c_be_22_4	1645682	1646335	+	132.7	159
1251252at2759	Fragmented	c_be_22_1	3934431	3935694	+	47.7	64
1257440at2759	Complete	c_be_22_3	2156128	2156871	-	148.0	127
1258856at2759	Complete	c_be_22_10	1566907	1569950	-	229.3	442
1259741at2759	Complete	c_be_22_2	748252	749190	-	353.8	232
1260807at2759	Complete	c_be_22_1	3337862	3338791	+	258.1	220
1264469at2759	Complete	c_be_22_16	163197	163941	-	156.9	152
1266231at2759	Complete	c_be_22_5	546895	547707	-	270.9	187
1269244at2759	Fragmented	c_be_22_14	19595	20548	+	49.1	80
1269649at2759	Complete	c_be_22_10	273013	273702	-	266.6	166
1275837at2759	Complete	c_be_22_12	1369765	1370748	+	368.7	243
1284731at2759	Complete	c_be_22_3	805132	805915	+	90.9	119
1287094at2759	Complete	c_be_22_1	1860101	1860746	+	142.7	122
1287401at2759	Complete	c_be_22_15	856442	857182	+	244.3	160
1291729at2759	Complete	c_be_22_7	1834077	1834952	+	54.5	103
1304061at2759	Complete	c_be_22_2	584557	585226	-	160.1	134
1309031at2759	Fragmented	c_be_22_7	1816277	1818621	-	180.5	259
1312453at2759	Complete	c_be_22_10	1632270	1636613	+	425.2	520
1314980at2759	Complete	c_be_22_10	379639	382170	-	319.8	469
1322299at2759	Complete	c_be_22_4	1016887	1018284	-	294.1	282
1322642at2759	Complete	c_be_22_4	1866498	1867462	+	179.3	153
1323575at2759	Complete	c_be_22_2	160125	160645	+	149.0	111
1324510at2759	Complete	c_be_22_11	206387	207799	+	268.1	267
1338131at2759	Complete	c_be_22_11	1320018	1320461	-	240.0	134
1339553at2759	Complete	c_be_22_16	437900	439233	-	138.7	242
1342242at2759	Complete	c_be_22_12	384627	385653	+	153.4	213
1346165at2759	Complete	c_be_22_5	356150	357582	-	313.3	243
1346432at2759	Complete	c_be_22_2	2793206	2794103	+	103.1	125
1348942at2759	Complete	c_be_22_4	1404786	1405982	+	85.8	168
1355894at2759	Complete	c_be_22_2	2175988	2176852	-	170.1	141
1358374at2759	Complete	c_be_22_12	1365811	1366902	+	262.5	209
1364586at2759	Complete	c_be_22_3	325884	326621	+	103.4	146
1370285at2759	Complete	c_be_22_16	503494	504866	-	97.1	222
1370304at2759	Complete	c_be_22_3	1920693	1923317	-	114.2	314
1377237at2759	Complete	c_be_22_4	1697258	1698584	+	113.1	139
1379600at2759	Complete	c_be_22_17	63366	65584	+	265.3	438
1380409at2759	Complete	c_be_22_1	2852392	2853294	-	162.2	142
1382842at2759	Complete	c_be_22_4	1867667	1868463	-	100.2	126
1395649at2759	Complete	c_be_22_1	2180412	2181023	+	28.3	94
1398309at2759	Complete	c_be_22_6	1944624	1945097	+	70.7	90
1404162at2759	Complete	c_be_22_3	616071	617201	+	122.8	178
1405073at2759	Complete	c_be_22_1	4973202	4973929	+	215.9	156
1405146at2759	Complete	c_be_22_1	1495529	1496208	-	93.0	99
1407446at2759	Complete	c_be_22_3	2359561	2359920	+	28.9	72
1421503at2759	Complete	c_be_22_3	587375	587899	-	184.1	109
1423847at2759	Complete	c_be_22_2	1237524	1238739	+	193.4	256
1426075at2759	Complete	c_be_22_4	1688064	1688615	-	97.0	97
1428265at2759	Complete	c_be_22_14	309707	310486	+	149.4	173
1428854at2759	Complete	c_be_22_7	845796	848192	+	376.5	359
1430056at2759	Complete	c_be_22_3	742575	743384	-	82.2	136
1432328at2759	Complete	c_be_22_9	1722371	1723408	+	240.7	175
1434266at2759	Complete	c_be_22_1	4968972	4969670	-	100.7	135
1440961at2759	Missing
1441854at2759	Complete	c_be_22_5	144263	145363	-	216.9	235
1442062at2759	Complete	c_be_22_1	2792977	2794401	-	83.6	194
1445102at2759	Complete	c_be_22_9	854406	855256	-	288.3	190
1450538at2759	Complete	c_be_22_5	950436	951598	+	132.0	151
1454155at2759	Complete	c_be_22_4	483020	483988	+	57.5	94
1455730at2759	Complete	c_be_22_3	1013397	1015431	-	375.5	332
1459797at2759	Complete	c_be_22_5	1411054	1411502	-	75.9	96
1474000at2759	Complete	c_be_22_8	1474053	1474856	+	77.9	114
1479417at2759	Complete	c_be_22_4	1594333	1595356	-	259.9	179
1488235at2759	Complete	c_be_22_9	1719788	1720363	-	181.5	138
1488436at2759	Complete	c_be_22_11	561107	561792	-	116.5	62
1490022at2759	Complete	c_be_22_1	264075	264582	+	152.7	148
1504863at2759	Complete	c_be_22_2	959956	960357	+	142.4	105
1513531at2759	Complete	c_be_22_2	2088024	2088835	-	209.7	207
1525971at2759	Complete	c_be_22_11	1053388	1053648	+	86.1	77
1526152at2759	Complete	c_be_22_10	1106016	1106522	+	98.7	85
1530008at2759	Fragmented	c_be_22_11	1315418	1316188	+	126.3	82
1538526at2759	Complete	c_be_22_3	1517406	1517949	-	133.8	98
1545004at2759	Complete	c_be_22_1	465020	465460	-	56.0	63
1552706at2759	Complete	c_be_22_10	1459288	1460121	+	70.6	70
1558822at2759	Fragmented	c_be_22_7	627436	627756	-	73.6	56
1563319at2759	Complete	c_be_22_1	3210723	3211607	-	63.9	119
1567796at2759	Complete	c_be_22_1	664197	664893	+	126.1	139
1575179at2759	Fragmented	c_be_22_13	887416	887767	-	31.7	35
1576404at2759	Fragmented	c_be_22_4	1397963	1398909	+	89.8	116
1588798at2759	Complete	c_be_22_1	3090146	3091323	-	64.8	120
1593937at2759	Complete	c_be_22_1	3476119	3477283	-	29.7	105
1617752at2759	Complete	c_be_22_5	751628	752162	-	114.6	93
1620056at2759	Complete	c_be_22_4	1374788	1375247	+	42.7	71
1623701at2759	Complete	c_be_22_3	1087120	1087538	-	106.5	87
1626636at2759	Complete	c_be_22_10	491588	492493	+	80.9	132
1633672at2759	Fragmented	c_be_22_16	307389	307776	+	121.2	79
1645187at2759	Complete	c_be_22_7	773814	774053	+	52.7	36
