# BUSCO version is: 5.3.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-08-05, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
22992at4751	Complete	c_be_22_3	907415	910283	+	174.5	433	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	c_be_22_5	2047316	2052183	-	1312.3	1063	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	c_be_22_3	1529884	1533519	-	458.1	855	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	c_be_22_4	1782577	1786257	+	362.6	739	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	c_be_22_1	1643639	1647397	+	504.6	718	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Missing
26329at4751	Complete	c_be_22_10	1627937	1631453	-	1373.0	954	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Missing
29512at4751	Complete	c_be_22_8	67916	70765	+	496.7	628	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Missing
31324at4751	Complete	c_be_22_11	6782	9898	-	339.8	703	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	c_be_22_1	4730990	4733278	-	568.5	622	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	c_be_22_1	1320136	1323022	-	757.5	655	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Missing
34706at4751	Fragmented	c_be_22_5	1236241	1238784	-	341.0	594	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	c_be_22_1	1588772	1592281	+	749.7	810	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	c_be_22_9	333772	337173	+	347.2	650	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	c_be_22_6	1228594	1230970	-	728.5	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	c_be_22_3	1242202	1244654	-	816.5	504	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	c_be_22_17	69445	71451	-	208.1	359	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Fragmented	c_be_22_1	4981205	4982332	-	211.8	302	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Missing
39833at4751	Missing
43842at4751	Complete	c_be_22_9	1581156	1583979	-	253.7	379	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	c_be_22_5	618565	621240	-	280.8	514	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	c_be_22_13	619044	622091	-	862.7	726	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Missing
46666at4751	Complete	c_be_22_1	903013	908340	-	658.8	754	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Missing
46918at4751	Complete	c_be_22_2	383236	385413	+	341.8	420	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Fragmented	c_be_22_4	21420	23360	+	403.9	466	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	c_be_22_15	12026	15214	+	1078.8	880	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	c_be_22_2	1954773	1956854	+	584.8	469	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	c_be_22_10	214727	217099	-	631.8	594	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Missing
50835at4751	Complete	c_be_22_5	1217954	1220875	-	854.0	632	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	c_be_22_11	1449921	1451948	-	520.4	431	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	c_be_22_4	1779566	1782172	-	744.0	644	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	c_be_22_3	2050166	2053996	+	596.3	696	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	c_be_22_10	1326111	1329047	-	737.5	648	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	c_be_22_3	312426	314642	-	437.0	402	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	c_be_22_1	2177080	2179032	-	267.3	354	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Missing
56729at4751	Complete	c_be_22_1	1700250	1703238	+	849.2	770	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	c_be_22_6	810187	813630	+	978.0	681	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	c_be_22_4	1803887	1807603	-	166.4	504	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Fragmented	c_be_22_5	624195	626888	-	674.0	545	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	c_be_22_1	3422119	3424774	-	229.3	304	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Fragmented	c_be_22_1	1183826	1186279	-	266.0	464	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Missing
62846at4751	Complete	c_be_22_3	2083203	2085716	+	324.6	417	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Missing
63838at4751	Missing
64002at4751	Complete	c_be_22_9	724495	726582	+	429.5	465	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Complete	c_be_22_4	1590761	1593317	-	819.8	521	https://www.orthodb.org/v10?query=64498at4751	glucosamine-fructose-6-phosphate aminotransferase
65334at4751	Complete	c_be_22_7	1249614	1251706	-	403.2	443	https://www.orthodb.org/v10?query=65334at4751	WD40-repeat-containing domain
65499at4751	Complete	c_be_22_6	1288312	1290201	+	612.6	476	https://www.orthodb.org/v10?query=65499at4751	AP-1 complex subunit gamma
66151at4751	Complete	c_be_22_3	488651	490954	-	381.4	515	https://www.orthodb.org/v10?query=66151at4751	Tetratricopeptide repeat
67284at4751	Missing
67399at4751	Complete	c_be_22_12	884770	886935	+	593.4	474	https://www.orthodb.org/v10?query=67399at4751	Glutamine-dependent NAD(+) synthetase
67806at4751	Missing
68466at4751	Complete	c_be_22_1	4068564	4071262	-	911.7	749	https://www.orthodb.org/v10?query=68466at4751	FACT complex subunit SPT16
68881at4751	Complete	c_be_22_1	1517620	1519615	-	181.4	336	https://www.orthodb.org/v10?query=68881at4751	WD40-repeat-containing domain
71039at4751	Complete	c_be_22_11	944026	947139	+	988.6	715	https://www.orthodb.org/v10?query=71039at4751	RNA cytidine acetyltransferase
71046at4751	Complete	c_be_22_4	1691579	1694527	+	636.6	601	https://www.orthodb.org/v10?query=71046at4751	Vacuolar protein sorting-associated protein 35
73383at4751	Complete	c_be_22_2	1599287	1601404	-	606.9	450	https://www.orthodb.org/v10?query=73383at4751	DNA topoisomerase I
73477at4751	Fragmented	c_be_22_1	2064603	2065736	-	295.4	305	https://www.orthodb.org/v10?query=73477at4751	Vacuolar protein 8
73771at4751	Complete	c_be_22_1	2022820	2025746	+	654.2	594	https://www.orthodb.org/v10?query=73771at4751	WD40-repeat-containing domain
75033at4751	Fragmented	c_be_22_1	574365	577761	+	322.3	345	https://www.orthodb.org/v10?query=75033at4751	RNA polymerase I-specific transcription initiation factor RRN3
75456at4751	Fragmented	c_be_22_17	63512	65259	+	168.8	247	https://www.orthodb.org/v10?query=75456at4751	Vps53-like, N-terminal
75463at4751	Missing
75709at4751	Complete	c_be_22_1	4103363	4108530	-	861.8	755	https://www.orthodb.org/v10?query=75709at4751	Lysophospholipase NTE1
75976at4751	Missing
76196at4751	Complete	c_be_22_12	1278565	1281177	+	526.5	349	https://www.orthodb.org/v10?query=76196at4751	Histidine biosynthesis trifunctional protein
76893at4751	Complete	c_be_22_4	1166206	1168251	-	825.8	507	https://www.orthodb.org/v10?query=76893at4751	ATPase, AAA-type, conserved site
76975at4751	Fragmented	c_be_22_10	1672822	1675340	+	144.9	297	https://www.orthodb.org/v10?query=76975at4751	Exocyst complex component Sec5
78289at4751	Complete	c_be_22_11	365344	367089	-	495.4	454	https://www.orthodb.org/v10?query=78289at4751	Fimbrin
78665at4751	Complete	c_be_22_11	1317536	1319902	+	258.0	404	https://www.orthodb.org/v10?query=78665at4751	Spindle pole body component
79262at4751	Complete	c_be_22_10	1100166	1101881	+	731.3	487	https://www.orthodb.org/v10?query=79262at4751	Electron transfer flavoprotein-ubiquinone oxidoreductase
79294at4751	Complete	c_be_22_3	1139798	1141549	-	679.7	446	https://www.orthodb.org/v10?query=79294at4751	Bifunctional purine biosynthesis protein ADE17
79797at4751	Complete	c_be_22_2	2089321	2091955	+	492.6	731	https://www.orthodb.org/v10?query=79797at4751	WD40-repeat-containing domain
79988at4751	Complete	c_be_22_1	4451313	4453349	+	96.3	200	https://www.orthodb.org/v10?query=79988at4751	Polynucleotide 5'-hydroxyl-kinase grc3
81295at4751	Complete	c_be_22_6	1304758	1306639	-	753.2	440	https://www.orthodb.org/v10?query=81295at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
81614at4751	Missing
81687at4751	Complete	c_be_22_10	389443	391196	-	748.9	479	https://www.orthodb.org/v10?query=81687at4751	asparagine synthase (glutamine-hydrolyzing)
84250at4751	Complete	c_be_22_1	752225	754171	+	305.6	447	https://www.orthodb.org/v10?query=84250at4751	TRAPP II complex, TRAPPC10
84829at4751	Missing
85793at4751	Missing
86293at4751	Missing
87251at4751	Complete	c_be_22_1	4110022	4113495	+	446.6	745	https://www.orthodb.org/v10?query=87251at4751	Ribosomal RNA-processing protein 12
87313at4751	Complete	c_be_22_2	1318330	1319961	+	852.8	442	https://www.orthodb.org/v10?query=87313at4751	Elongator complex protein 3
90022at4751	Complete	c_be_22_11	856277	858172	-	113.9	190	https://www.orthodb.org/v10?query=90022at4751	nucleotide-diphospho-sugar transferase
91135at4751	Missing
92267at4751	Complete	c_be_22_6	732942	734768	+	678.8	491	https://www.orthodb.org/v10?query=92267at4751	Phenylalanyl-tRNA synthetase
93783at4751	Fragmented	c_be_22_6	1268083	1269669	-	223.9	284	https://www.orthodb.org/v10?query=93783at4751	ER membrane protein complex subunit 1
94384at4751	Complete	c_be_22_5	1659868	1662524	-	386.4	417	https://www.orthodb.org/v10?query=94384at4751	DNA topoisomerase
94628at4751	Complete	c_be_22_4	1380896	1383757	+	837.2	521	https://www.orthodb.org/v10?query=94628at4751	DNA helicase
95253at4751	Complete	c_be_22_4	1395076	1397067	-	274.7	434	https://www.orthodb.org/v10?query=95253at4751	WD40-repeat-containing domain
96633at4751	Complete	c_be_22_10	379657	382137	-	390.2	623	https://www.orthodb.org/v10?query=96633at4751	Cleavage and polyadenylation specificity factor subunit 2
97141at4751	Missing
98519at4751	Complete	c_be_22_5	345229	347226	-	88.0	265	https://www.orthodb.org/v10?query=98519at4751	Symplekin/Pta1
98733at4751	Complete	c_be_22_1	3297508	3299609	+	901.4	558	https://www.orthodb.org/v10?query=98733at4751	threonyl-tRNA synthetase
98739at4751	Complete	c_be_22_3	600773	602858	-	551.8	418	https://www.orthodb.org/v10?query=98739at4751	Homoaconitase, mitochondrial
100957at4751	Complete	c_be_22_7	1653427	1656263	-	379.1	660	https://www.orthodb.org/v10?query=100957at4751	ARM repeat-containing protein
101133at4751	Complete	c_be_22_1	2855679	2857406	-	451.7	387	https://www.orthodb.org/v10?query=101133at4751	Phosphoribosylaminoimidazole carboxylase
103183at4751	Complete	c_be_22_1	248184	250885	+	452.0	494	https://www.orthodb.org/v10?query=103183at4751	DNA repair protein
103461at4751	Complete	c_be_22_16	55196	57496	+	749.5	538	https://www.orthodb.org/v10?query=103461at4751	P-loop containing nucleoside triphosphate hydrolase protein
103836at4751	Complete	c_be_22_7	1252026	1253348	-	307.1	358	https://www.orthodb.org/v10?query=103836at4751	WD40-repeat-containing domain
104173at4751	Complete	c_be_22_12	382412	384091	+	307.0	431	https://www.orthodb.org/v10?query=104173at4751	Noc2-domain-containing protein
104415at4751	Complete	c_be_22_11	1447185	1449158	+	274.6	376	https://www.orthodb.org/v10?query=104415at4751	WD40-repeat-containing domain
105401at4751	Complete	c_be_22_6	1801648	1803378	+	950.8	547	https://www.orthodb.org/v10?query=105401at4751	GroEL-like apical domain superfamily
106281at4751	Complete	c_be_22_12	1378018	1381946	+	442.9	761	https://www.orthodb.org/v10?query=106281at4751	endosomal peripheral membrane protein
107136at4751	Complete	c_be_22_13	679253	682117	+	585.6	499	https://www.orthodb.org/v10?query=107136at4751	glycoside hydrolase family 31 protein
107464at4751	Complete	c_be_22_6	205259	206964	-	582.7	412	https://www.orthodb.org/v10?query=107464at4751	Glucose-6-phosphate isomerase
109276at4751	Complete	c_be_22_10	1329813	1331786	+	339.3	413	https://www.orthodb.org/v10?query=109276at4751	CCAAT-box-binding transcription factor
111022at4751	Complete	c_be_22_1	4121703	4123079	+	302.6	265	https://www.orthodb.org/v10?query=111022at4751	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
111189at4751	Complete	c_be_22_4	884368	886681	+	601.6	478	https://www.orthodb.org/v10?query=111189at4751	ATP-dependent RNA helicase DBP10
112646at4751	Fragmented	c_be_22_16	504174	504869	-	43.4	158	https://www.orthodb.org/v10?query=112646at4751	oligomeric Golgi complex subunit 6
112937at4751	Complete	c_be_22_2	1314186	1315592	+	405.2	381	https://www.orthodb.org/v10?query=112937at4751	P-loop containing nucleoside triphosphate hydrolase protein
115993at4751	Complete	c_be_22_10	1132021	1133901	+	634.2	449	https://www.orthodb.org/v10?query=115993at4751	Ribosome biogenesis protein ERB1
117017at4751	Complete	c_be_22_9	383688	385379	+	671.6	471	https://www.orthodb.org/v10?query=117017at4751	Methionyl-tRNA synthetase
118189at4751	Complete	c_be_22_10	1097844	1099296	-	455.3	441	https://www.orthodb.org/v10?query=118189at4751	WD40-repeat-containing domain
118701at4751	Complete	c_be_22_6	1722510	1724665	+	713.8	523	https://www.orthodb.org/v10?query=118701at4751	Phosphatidylinositol 3-kinase VPS34
119833at4751	Fragmented	c_be_22_3	2563859	2564428	-	286.9	165	https://www.orthodb.org/v10?query=119833at4751	Histone-lysine N-methyltransferase
122507at4751	Complete	c_be_22_12	517673	520127	+	366.0	414	https://www.orthodb.org/v10?query=122507at4751	WD40-repeat-containing domain
122824at4751	Complete	c_be_22_2	2310768	2312291	-	121.4	247	https://www.orthodb.org/v10?query=122824at4751	WD40-repeat-containing domain
123228at4751	Complete	c_be_22_4	704493	707795	-	858.8	643	https://www.orthodb.org/v10?query=123228at4751	Ribosome biogenesis protein BMS1
123277at4751	Missing
123494at4751	Complete	c_be_22_14	1134640	1136012	-	278.2	255	https://www.orthodb.org/v10?query=123494at4751	Actin family
125400at4751	Missing
125935at4751	Complete	c_be_22_1	4207286	4208890	-	413.5	346	https://www.orthodb.org/v10?query=125935at4751	tRNA-dihydrouridine(47) synthase 
126037at4751	Complete	c_be_22_5	263589	265732	-	368.8	408	https://www.orthodb.org/v10?query=126037at4751	SNF2-related, N-terminal domain
126249at4751	Missing
126256at4751	Complete	c_be_22_2	1115712	1117358	+	417.0	284	https://www.orthodb.org/v10?query=126256at4751	Non-specific serine/threonine protein kinase
126519at4751	Complete	c_be_22_1	1910017	1911711	-	571.8	432	https://www.orthodb.org/v10?query=126519at4751	Imidazole glycerol phosphate synthase hisHF
127140at4751	Complete	c_be_22_6	423325	425063	+	300.7	354	https://www.orthodb.org/v10?query=127140at4751	Protein arginine N-methyltransferase
129160at4751	Complete	c_be_22_3	1069754	1071467	-	633.4	446	https://www.orthodb.org/v10?query=129160at4751	T-complex protein 1 subunit zeta
129326at4751	Complete	c_be_22_10	49121	52309	-	454.4	672	https://www.orthodb.org/v10?query=129326at4751	Putative nucleolar complex protein 14
129520at4751	Complete	c_be_22_14	192017	193666	-	582.8	421	https://www.orthodb.org/v10?query=129520at4751	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
130062at4751	Missing
130930at4751	Fragmented	c_be_22_3	1296779	1300825	+	431.1	1105	https://www.orthodb.org/v10?query=130930at4751	Nucleoporin Nup186/Nup192/Nup205
130976at4751	Fragmented	c_be_22_4	2094583	2095539	-	148.9	202	https://www.orthodb.org/v10?query=130976at4751	DNA polymerase alpha subunit B
133954at4751	Missing
135184at4751	Complete	c_be_22_5	1128983	1129927	+	164.7	218	https://www.orthodb.org/v10?query=135184at4751	Nitrogen permease regulator 2
135652at4751	Complete	c_be_22_6	1886037	1887844	-	373.1	327	https://www.orthodb.org/v10?query=135652at4751	Poly(A) polymerase
137963at4751	Complete	c_be_22_6	528765	530351	-	709.8	438	https://www.orthodb.org/v10?query=137963at4751	Prolyl-tRNA synthetase
138484at4751	Complete	c_be_22_7	76809	78697	-	204.2	293	https://www.orthodb.org/v10?query=138484at4751	DNA polymerase epsilon subunit
138695at4751	Complete	c_be_22_11	379010	380887	+	726.1	526	https://www.orthodb.org/v10?query=138695at4751	Nucleolar GTP-binding protein 1
138697at4751	Complete	c_be_22_1	3291913	3293418	-	413.3	368	https://www.orthodb.org/v10?query=138697at4751	Threonine synthase
138833at4751	Complete	c_be_22_16	412839	414665	+	578.5	486	https://www.orthodb.org/v10?query=138833at4751	Protein phosphatase PP2A regulatory subunit A
141273at4751	Complete	c_be_22_16	181358	183049	-	283.5	276	https://www.orthodb.org/v10?query=141273at4751	methionine-tRNA ligase
142357at4751	Complete	c_be_22_7	140585	142976	+	512.1	492	https://www.orthodb.org/v10?query=142357at4751	Ribosomal protein S5 domain 2-type fold
142965at4751	Complete	c_be_22_2	2500629	2502429	+	205.7	243	https://www.orthodb.org/v10?query=142965at4751	GPI transamidase component GPI16
143414at4751	Complete	c_be_22_2	1117931	1119697	+	206.6	502	https://www.orthodb.org/v10?query=143414at4751	Transcription factor 25
145178at4751	Complete	c_be_22_6	1307197	1310140	+	167.4	354	https://www.orthodb.org/v10?query=145178at4751	Topoisomerase 1-associated factor 1
145378at4751	Complete	c_be_22_1	2430891	2432465	-	350.7	419	https://www.orthodb.org/v10?query=145378at4751	Eukaryotic translation initiation factor 2A
145524at4751	Complete	c_be_22_1	5079722	5082343	-	425.3	308	https://www.orthodb.org/v10?query=145524at4751	Nuclear elongation and deformation protein 1
147028at4751	Complete	c_be_22_3	236413	238107	-	288.2	312	https://www.orthodb.org/v10?query=147028at4751	WD40-repeat-containing domain
148293at4751	Complete	c_be_22_1	2834595	2835995	+	780.0	402	https://www.orthodb.org/v10?query=148293at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
150469at4751	Complete	c_be_22_11	1161105	1162613	-	533.3	368	https://www.orthodb.org/v10?query=150469at4751	T-complex protein 1 subunit beta
153083at4751	Complete	c_be_22_6	902879	905416	+	501.2	575	https://www.orthodb.org/v10?query=153083at4751	Ubiquitin carboxyl-terminal hydrolase
154126at4751	Complete	c_be_22_9	260261	262307	-	445.1	334	https://www.orthodb.org/v10?query=154126at4751	Ubiquitin-like modifier-activating enzyme ATG7
156073at4751	Missing
160044at4751	Complete	c_be_22_7	769411	770944	+	353.2	345	https://www.orthodb.org/v10?query=160044at4751	Sodium/hydrogen exchanger
160875at4751	Complete	c_be_22_13	1223589	1225490	+	411.5	365	https://www.orthodb.org/v10?query=160875at4751	RNA helicase
160940at4751	Complete	c_be_22_15	884094	885251	-	141.1	229	https://www.orthodb.org/v10?query=160940at4751	Phosphoserine aminotransferase
160995at4751	Complete	c_be_22_10	75289	76701	-	673.5	384	https://www.orthodb.org/v10?query=160995at4751	Eukaryotic translation initiation factor 2 subunit gamma
161113at4751	Complete	c_be_22_4	8972	10317	-	273.8	305	https://www.orthodb.org/v10?query=161113at4751	Peptidase M16, N-terminal
163318at4751	Missing
165243at4751	Complete	c_be_22_12	413304	414697	-	201.2	267	https://www.orthodb.org/v10?query=165243at4751	General transcription and DNA repair factor IIH
167290at4751	Missing
167374at4751	Missing
167498at4751	Complete	c_be_22_9	284241	286273	-	486.3	419	https://www.orthodb.org/v10?query=167498at4751	Signal recognition particle 54 kDa protein
168092at4751	Complete	c_be_22_2	1541310	1543291	-	411.8	372	https://www.orthodb.org/v10?query=168092at4751	P-loop containing nucleoside triphosphate hydrolase protein
168489at4751	Missing
169381at4751	Complete	c_be_22_6	870314	871302	-	282.0	219	https://www.orthodb.org/v10?query=169381at4751	WD40-repeat-containing domain
170297at4751	Complete	c_be_22_15	158944	160209	+	532.4	410	https://www.orthodb.org/v10?query=170297at4751	26S proteasome non-ATPase regulatory subunit 3
170401at4751	Fragmented	c_be_22_11	624542	625711	-	140.7	244	https://www.orthodb.org/v10?query=170401at4751	Zinc finger, RING/FYVE/PHD-type
170904at4751	Missing
171181at4751	Complete	c_be_22_1	1930997	1932028	-	110.9	173	https://www.orthodb.org/v10?query=171181at4751	Cytidine deaminase-like protein
171238at4751	Complete	c_be_22_1	1087140	1088387	+	414.4	318	https://www.orthodb.org/v10?query=171238at4751	Succinate--CoA ligase 
172113at4751	Complete	c_be_22_10	718561	720009	+	522.9	298	https://www.orthodb.org/v10?query=172113at4751	Eukaryotic peptide chain release factor subunit 1
172363at4751	Missing
172966at4751	Fragmented	c_be_22_6	1326060	1327597	+	446.0	310	https://www.orthodb.org/v10?query=172966at4751	polyubiquitin-tagged protein recognition complex, Npl4 component
173428at4751	Complete	c_be_22_10	1656174	1657910	+	457.4	466	https://www.orthodb.org/v10?query=173428at4751	Aminoacyl-tRNA synthetase, class II
173995at4751	Complete	c_be_22_14	348747	349840	+	309.3	314	https://www.orthodb.org/v10?query=173995at4751	Probable cytosolic iron-sulfur protein assembly protein 1
174653at4751	Complete	c_be_22_7	1491046	1492323	-	671.8	365	https://www.orthodb.org/v10?query=174653at4751	Adenosylhomocysteinase
174672at4751	Complete	c_be_22_17	116911	118305	-	185.4	258	https://www.orthodb.org/v10?query=174672at4751	tRNA guanosine-2'-O-methyltransferase
175136at4751	Missing
175599at4751	Complete	c_be_22_1	2970044	2971237	+	94.7	175	https://www.orthodb.org/v10?query=175599at4751	SWR1-complex protein 4
176178at4751	Complete	c_be_22_3	2064907	2065961	-	374.1	270	https://www.orthodb.org/v10?query=176178at4751	putative 26S proteasome regulatory subunit rpn6
176478at4751	Complete	c_be_22_1	3059139	3060646	-	292.6	311	https://www.orthodb.org/v10?query=176478at4751	CBF-domain-containing protein
176648at4751	Complete	c_be_22_6	1947026	1948339	+	274.7	257	https://www.orthodb.org/v10?query=176648at4751	chaperone DnaJ
